,Akt,AP1,apoptosis,ASK1,Bad,Bax,Bcl2,Bcl2t,Bim,CAD,cas3,cas9,cellDeath,CREB,cytc,DNAfrag,EGF,EGFR,ERBB,ERK12,FGF,FGFR,FLT3,FLT3L,iCAD,iCADt,IGF1,IGF1R,IkB,IKK,JAK,JNK,KIT,LRP1,LRP1ag,MEK12,MEK36,MEK47,MOMP,NFkB,NOX,Noxa,NRG1,p38,p53,PARP,PDGF,PDGFR,PDK1,PI3K,PKC,PUMA,Raf,Ras,ROS,RSK,SCF,Shc1,Shp2,Smac,Src,STAT,Trx,Trxt,VEGF,VEGFR,xIAP,xIAPt
Akt,-0.6045969720292019,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,1.1102230246251565e-16,-0.05339292507634097,-0.05339292507634097,-0.05339292507634097,0.0,-0.05339292507634097,-0.05339292507634097,-0.05339292507634097,-0.05339292507634097,0.0,0.0,-0.05339292507634097,-0.05339292507634097,0.0,0.0,0.0,0.0,-0.05339292507634097,-0.00530437806822992,-0.00530437806822992,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,-0.05339292507634097,0.0,0.0,0.0,-0.09074819184179717,-0.09074819184179717,-0.6045969720292019,-0.6045969720292019,-0.00013295854398653884,0.0,0.0,0.0,1.1102230246251565e-16,0.0,-0.05339292507634097,-0.00013295854398653884,-0.000634561556895008,0.0,-0.032957645725010476,0.0,0.0,0.0,-0.05339292507634097,-0.05339292507634097,0.0,0.0
AP1,0.20263813861511726,-0.4519665195773741,-1.1102230246251565e-16,-0.4519665195773741,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,-1.1102230246251565e-16,0.020718330054177725,0.020718330054177725,0.020718330054177725,0.0,0.020718330054177725,0.020718330054177725,0.020718330054177725,0.020718330054177725,0.0,0.0,0.020718330054177725,0.020718330054177725,0.0,0.0,0.0,-0.4519665195773741,0.020718330054177725,0.0020474193511449412,0.0020474193511449412,0.0,0.0,-0.4519665195773741,-6.661338147750939e-16,0.0,0.0,0.0,0.020718330054177725,0.0,0.0,0.0,0.03531955842877771,0.03531955842877771,0.20263813861511726,0.20263813861511726,5.128643177498837e-05,0.0,0.0,0.0,-0.4519665195773741,0.0,0.020718330054177725,5.128643177498837e-05,0.00024478683740397633,0.0,0.01276238826885151,0.0,0.5480334804226259,0.5480334804226259,0.020718330054177725,0.020718330054177725,0.0,0.0
apoptosis,0.0558672354480888,-0.9440678651483574,-0.9441181404843569,-0.9440688468483065,-0.021606601499479128,-0.9441181404843569,0.05588185951564306,0.05588185951564306,-0.021825206378297435,-0.9441181404843569,-0.9441181404843569,-0.6124204653779781,0.0007859435009995863,0.006020433501447875,-0.14872430213833465,-0.9441181404843569,0.02765614890898571,0.02765614890898571,0.02765614890898571,0.006020433501447875,0.02765614890898571,0.02765614890898571,0.02765614890898571,0.02765614890898571,0.0257151733541231,0.0257151733541231,0.02765614890898571,0.02765614890898571,-0.002790873096096158,0.006180520092004316,0.004044059345797657,-0.9440688327805544,0.02765614890898571,0.003446650607192847,0.003446650607192847,0.006020433501447875,-0.003644405984808863,-0.9440688327805544,-0.9441181404843569,0.006180520092004316,-4.005007896323853e-06,-0.020952874261082277,0.02765614890898571,-0.003644405984808863,-0.9440678651483574,0.029844638106159227,0.03897587839213357,0.03897587839213312,0.0558672354480888,0.0558672354480888,7.856530841410247e-05,-0.020952874261082277,0.006020433501447875,0.006020433501447875,-0.9441181404843569,0.006020433501447875,0.02765614890898571,7.856530841410247e-05,0.0004121289925985705,-0.6146452196896028,0.018649204937351005,0.004044059345797657,0.05588185951564306,0.05588185951564306,0.02765614890898571,0.02765614890898571,0.05588185951564306,0.05588185951564306
ASK1,0.14877539529791678,0.0,-5.551115123125783e-17,-0.46695313734742655,0.0,-5.551115123125783e-17,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.0,0.0,0.0,0.0,-5.551115123125783e-17,0.014138881723684882,0.014138881723684882,0.014138881723684882,0.0,0.014138881723684882,0.014138881723684882,0.014138881723684882,0.014138881723684882,0.0,0.0,0.014138881723684882,0.014138881723684882,0.0,0.0,0.0,0.0,0.014138881723684882,0.0013903287658114105,0.0013903287658114105,0.0,0.0,0.0,-2.7755575615628914e-16,0.0,0.0,0.0,0.014138881723684882,0.0,0.0,0.0,0.024204972723839424,0.024204972723839424,0.14877539529791678,0.14877539529791678,3.4809364817811606e-05,0.0,0.0,0.0,-0.46695313734742655,0.0,0.014138881723684882,3.4809364817811606e-05,0.00016615086681887048,0.0,0.008690607147787188,0.0,0.5330468626525735,0.5330468626525735,0.014138881723684882,0.014138881723684882,0.0,0.0
Bad,0.3374553069854831,0.0,-2.220446049250313e-16,-0.27830142876220954,-0.6625446930145169,-2.220446049250313e-16,0.0,0.0,0.0,-2.220446049250313e-16,-2.220446049250313e-16,0.0,0.0,0.0,0.0,-2.220446049250313e-16,0.04361513825935781,0.04361513825935781,0.04361513825935781,0.0,0.04361513825935781,0.04361513825935781,0.04361513825935781,0.04361513825935781,0.0,0.0,0.04361513825935781,0.04361513825935781,0.0,0.0,0.0,-0.27830142876220954,0.04361513825935781,0.0044025020330049625,0.0044025020330049625,0.0,0.0,-0.27830142876220954,-6.661338147750939e-16,0.0,0.0,0.0,0.04361513825935781,0.0,0.0,0.0,0.07311212932926825,0.07311212932926825,0.3374553069854831,0.3374553069854831,0.00011052786972698403,0.0,0.0,0.0,-0.2783014287622096,0.0,0.04361513825935781,0.00011052786972698403,0.0005274275078068769,0.0,0.02711168416327192,0.0,0.337455306985483,0.337455306985483,0.04361513825935781,0.04361513825935781,0.0,0.0
Bax,0.330915614545508,-0.39566764490546263,-5.551115123125783e-16,-0.3958785791888699,-0.02163663874544952,-0.5442140406530223,0.45578595934697774,0.45578595934697774,-0.02182716147070718,-5.551115123125783e-16,-5.551115123125783e-16,0.0,0.0,0.0073551166723876404,0.0,-5.551115123125783e-16,0.042514338780292205,0.042514338780292205,0.042514338780292205,0.0073551166723876404,0.042514338780292205,0.042514338780292205,0.042514338780292205,0.042514338780292205,0.0,0.0,0.042514338780292205,0.042514338780292205,-0.0031590997533057497,0.007560768829648401,0.004862760487801543,-0.39587552954084004,0.042514338780292205,0.004125774361323997,0.004125774361323997,0.0073551166723876404,-0.004102600678257962,-0.39587552954084004,-1.4432899320127035e-15,0.007560768829648401,0.0,-0.021064084795068272,0.042514338780292205,-0.004102600678257962,-0.39566764490546263,0.0,0.07217566088981853,0.07217566088981853,0.330915614545508,0.330915614545508,0.00010340135339703682,-0.021064084795068272,0.0073551166723876404,0.0073551166723876404,-0.544209392380562,0.0073551166723876404,0.042514338780292205,0.00010340135339703682,0.0004921308951612025,0.0,0.025705594680063615,0.004862760487801543,0.45578595934697774,0.45578595934697774,0.042514338780292205,0.042514338780292205,0.0,0.0
Bcl2,-0.31346599293826316,0.05422665595429099,3.3306690738754696e-16,0.05451658152492911,0.05190670056452218,3.3306690738754696e-16,-0.9454779766338085,-0.9454779766338085,0.05237208447920705,3.3306690738754696e-16,2.220446049250313e-16,0.0,0.0,-0.017235850933245866,0.0,3.3306690738754696e-16,-0.02325517294883961,-0.02325517294883961,-0.02325517294883961,-0.017235850933245866,-0.02325517294883961,-0.02325517294883961,-0.02325517294883961,-0.02325517294883961,0.0,0.0,-0.02325517294883961,-0.02325517294883961,0.007465052761947866,-0.017714910794877414,-0.011417699520101965,0.0545123894215741,-0.02325517294883961,-0.0018534909291010315,-0.0018534909291010315,-0.017235850933245866,0.00970192767581024,0.0545123894215741,5.551115123125783e-16,-0.017714910794877414,0.0,0.05050904081785512,-0.02325517294883961,0.00970192767581024,0.05422665595429099,0.0,-0.042787407737059246,-0.042787407737059246,-0.31346599293826316,-0.31346599293826316,-4.591105361750891e-05,0.05050904081785512,-0.017235850933245866,-0.017235850933245866,0.05451658152492922,-0.017235850933245866,-0.02325517294883961,-4.591105361750891e-05,-0.00021613172338652564,0.0,-0.012416621378992354,-0.011417699520101965,-0.9454779766338081,-0.9454779766338081,-0.02325517294883961,-0.02325517294883961,0.0,0.0
Bcl2t,-0.07408432179910618,0.0,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,0.0,-0.9618501141748904,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,-0.07231402670488041,0.0,1.1102230246251565e-16,-0.026934992605219477,-0.026934992605219477,-0.026934992605219477,-0.07231402670488041,-0.026934992605219477,-0.026934992605219477,-0.026934992605219477,-0.026934992605219477,0.0,0.0,-0.026934992605219477,-0.026934992605219477,0.038149885825109586,-0.07408432179910618,-0.049894583917124646,0.0,-0.026934992605219477,-0.0016392774837992174,-0.0016392774837992174,-0.07231402670488041,0.0,0.0,1.1102230246251565e-16,-0.07408432179910618,0.0,0.0,-0.026934992605219477,0.0,0.0,0.0,-0.046105619048588564,-0.046105619048588564,-0.07408432179910618,-0.07408432179910618,-4.0868836609697645e-05,0.0,-0.07231402670488041,-0.07231402670488041,1.1102230246251565e-16,-0.07231402670488041,-0.026934992605219477,-4.0868836609697645e-05,-0.00017972089577733552,0.0,-0.011147679933834254,-0.049894583917124646,0.0,0.0,-0.026934992605219477,-0.026934992605219477,0.0,0.0
Bim,0.18493680637433996,0.0,-3.3306690738754696e-16,-0.4308199293733527,0.0,-3.3306690738754696e-16,0.0,0.0,-0.81506319362566,-3.3306690738754696e-16,-2.220446049250313e-16,0.0,0.0,0.0,0.0,-3.3306690738754696e-16,0.029990433618232837,0.029990433618232837,0.029990433618232837,0.0,0.029990433618232837,0.029990433618232837,0.029990433618232837,0.029990433618232837,0.0,0.0,0.029990433618232837,0.029990433618232837,0.0,0.0,0.0,-0.15251850061114314,0.029990433618232837,0.0030946172695283103,0.0030946172695283103,0.0,-0.15251850061114314,-0.15251850061114314,-4.440892098500626e-16,0.0,0.0,0.0,0.029990433618232837,-0.15251850061114314,0.0,0.0,0.04940437900590533,0.04940437900590533,0.18493680637433996,0.18493680637433996,7.787418312887873e-05,0.0,0.0,0.0,-0.43081992937335273,0.0,0.029990433618232837,7.787418312887873e-05,0.0003715234428247616,0.0,0.01881883644333593,0.0,0.18493680637433985,0.18493680637433985,0.029990433618232837,0.029990433618232837,0.0,0.0
CAD,0.03488499356747399,-0.9280793182634318,-1.1676630773393981e-09,-0.9282967843954636,-0.013290262274063158,-0.9651057728099957,0.034894227190004345,0.034894227190004345,-0.013424299076277402,-0.9651057728099957,-0.9651057728099957,-0.37613033953851716,2.8960220110896273e-08,0.0037293121845981547,-0.0899221701926729,-1.1676630773393981e-09,0.017176928941522784,0.017176928941522784,0.017176928941522784,0.0037293121845981547,0.017176928941522784,0.017176928941522784,0.017176928941522784,0.017176928941522784,0.034894227190004345,0.034894227190004345,0.017176928941522784,0.017176928941522784,-0.0017166210944031812,0.0038284153471072058,0.0025062924886529725,-0.9282936467999494,0.017176928941522784,0.0021367760218891085,0.0021367760218891085,0.0037293121845981547,-0.0022432520152690927,-0.9282936467999494,-0.9651057728099957,0.0038284153471072058,-1.1146704670395025e-09,-0.012889374627909178,0.017176928941522784,-0.0022432520152690927,-0.9280793182634318,-1.1676627442724907e-09,0.0242577445001797,0.02425774450017948,0.03488499356747399,0.03488499356747399,5.498898241140804e-05,-0.012889374627909178,0.0037293121845981547,0.0037293121845981547,-0.9651057728099957,0.0037293121845981547,0.017176928941522784,5.498898241140804e-05,0.0002610503306247347,-0.3776955906101842,0.011565299030755538,0.0025062924886529725,0.034894227190004345,0.034894227190004345,0.017176928941522784,0.017176928941522784,0.034894227190004345,0.034894227190004345
cas3,0.07350170601485717,-0.8515122658265493,-5.551115123125783e-14,-0.8518269282855377,-0.018860996241321315,-0.9262898504301484,0.07371014956985156,0.07371014956985156,-0.019042648727694456,-5.551115123125783e-14,-0.9262898504301484,-0.3560854327891624,7.371880883511039e-13,0.005657001888592195,-0.1075731767633753,-5.551115123125783e-14,0.028069402164903834,0.028069402164903834,0.028069402164903834,0.005657001888592195,0.028069402164903834,0.028069402164903834,0.028069402164903834,0.028069402164903834,-5.5067062021407764e-14,-5.5067062021407764e-14,0.028069402164903834,0.028069402164903834,-0.00254297030493722,0.0058099894784218176,0.003780707431020547,-0.8518223846280966,0.028069402164903834,0.003217977803345873,0.003217977803345873,0.005657001888592195,-0.003315962263252037,-0.8518223846280966,-0.9262898504301484,0.0058099894784218176,-5.5067062021407764e-14,-0.018316799893213886,0.028069402164903834,-0.003315962263252037,-0.8515122658265493,-5.5067062021407764e-14,0.04192123028027528,0.041921230280274946,0.07350170601485717,0.07350170601485717,8.206760189288786e-05,-0.018316799893213886,0.005657001888592195,0.005657001888592195,-0.9262898504301313,0.005657001888592195,0.028069402164903834,8.206760189288786e-05,0.00038993758682248636,-0.35732770253844814,0.01825665864390691,0.003780707431020547,0.07371014956985156,0.07371014956985156,0.028069402164903834,0.028069402164903834,0.07371014956985156,0.07371014956985156
cas9,0.1837212232737152,-0.7383679406240187,-3.3306690738754696e-16,-0.7386261278368147,-0.02876585252963615,-0.8116671143000929,0.18833288569990714,0.18833288569990714,-0.029031130014882445,-3.3306690738754696e-16,-3.3306690738754696e-16,-0.8116671143000929,-5.218048215738236e-15,0.00916950798717342,-0.2414626966591068,-3.3306690738754696e-16,0.04885062599635703,0.04885062599635703,0.04885062599635703,0.00916950798717342,0.04885062599635703,0.04885062599635703,0.04885062599635703,0.04885062599635703,4.440892098500626e-16,4.440892098500626e-16,0.04885062599635703,0.04885062599635703,-0.004032693801013565,0.009421496290702658,0.00609662321791582,-0.7386223984081534,0.04885062599635703,0.005181252307352668,0.005181252307352668,0.00916950798717342,-0.005248139668335039,-0.7386223984081534,-0.8116671143000929,0.009421496290702658,4.440892098500626e-16,-0.027969911545033255,0.04885062599635703,-0.005248139668335039,-0.7383679406240187,4.440892098500626e-16,0.07722635086241669,0.07722635086241658,0.1837212232737152,0.1837212232737152,0.00013103482960408197,-0.027969911545033255,0.00916950798717342,0.00916950798717342,-0.8116671143000557,0.00916950798717342,0.04885062599635703,0.00013103482960408197,0.0006231064504491624,-0.24985888134014977,0.03072473969179601,0.00609662321791582,0.18833288569990714,0.18833288569990714,0.04885062599635703,0.04885062599635703,0.18833288569990703,0.18833288569990703
cellDeath,0.049463188975855,-0.9505227474057651,-0.95052431950463,-0.9505227902138055,-0.018500354179159073,-0.95052431950463,0.04947568049536999,0.04947568049536999,-0.01869721456567408,-0.95052431950463,-0.95052431950463,-0.6428275606340124,-0.95052431950463,0.006147192976011295,-0.13784765649589414,-0.95052431950463,0.025130022812349218,0.025130022812349218,0.025130022812349218,0.006147192976011295,0.025130022812349218,0.025130022812349218,0.025130022812349218,0.025130022812349218,0.023438459085886154,0.023438459085886154,0.025130022812349218,0.025130022812349218,-0.001664024330137459,0.006288678912420909,0.004399190458236002,-0.9505227896027558,0.025130022812349218,0.0038703517982089375,0.0038703517982089375,0.006147192976011295,-0.0024231564118204485,-0.9505227896027558,-0.95052431950463,0.006288678912420909,-0.0008473569253447666,-0.01791182463003238,0.025130022812349218,-0.0024231564118204485,-0.9505227474057651,0.027034601817748638,0.03495049178648768,0.03495049178648724,0.049463188975855,0.049463188975855,0.0008848464497699382,-0.01791182463003238,0.006147192976011295,0.006147192976011295,-0.95052431950463,0.006147192976011295,0.025130022812349218,0.0008848464497699382,0.0011808244068202134,-0.6453696806342519,0.017261468053438533,0.004399190458236002,0.04947568049536999,0.04947568049536999,0.025130022812349218,0.025130022812349218,0.04947568049536999,0.04947568049536999
CREB,0.0,0.0,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16,2.220446049250313e-16,0.0,0.0,-0.6407840978687064,0.0,1.1102230246251565e-16,-0.0694979426117236,-0.0694979426117236,-0.0694979426117236,-0.6407840978687064,-0.0694979426117236,-0.0694979426117236,-0.0694979426117236,-0.0694979426117236,0.0,0.0,-0.0694979426117236,-0.0694979426117236,0.0,0.0,0.0,0.0,-0.0694979426117236,-0.006668224266462519,-0.006668224266462519,-0.6407840978687064,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,-0.0694979426117236,0.0,0.0,0.0,-0.12109564366323688,-0.12109564366323688,0.0,0.0,-0.00016649546629388112,0.0,-0.6407840978687064,-0.6407840978687064,1.1102230246251565e-16,-0.6407840978687064,-0.0694979426117236,-0.00016649546629388112,-0.0007949215556523059,0.0,-0.04228300317078504,0.0,0.0,0.0,-0.0694979426117236,-0.0694979426117236,0.0,0.0
